contour,area,perimeter,total area,contour volume
0.0000 - 1.0000,18395.19,3341.82,115033.46,105702.394
1.0000 - 2.0000,19255.07,3333.34,96638.27,86832.63899
2.0000 - 3.0000,15637.59,2919.39,77383.19,69417.46193
3.0000 - 4.0000,11789.1,2400.9,61745.6,55747.07398
4.0000 - 5.0000,10591.09,1961.95,49956.5,44555.93909
5.0000 - 6.0000,8951.72,1577.62,39365.42,34793.46424
6.0000 - 7.0000,7369.33,1323.62,30413.7,26643.97221
7.0000 - 8.0000,7603.86,1133.44,23044.37,19115.99584
8.0000 - 9.0000,9887.87,853.43,15440.51,10084.16723
9.0000 - 10.0000,5481.25,392.64,5552.64,2084.545136
10.0000 - 11.0000,71.39,53.32,71.39,23.79666667
,,,,455001.4494
,,,,3.955383498
