date,depth,ammonia (mg/L),nitro,tn,tp
9/20/2022,0,0.03,0.01,0.21,31
9/20/2022,2,0.05,0.01,1.54,10
9/20/2022,4,0.06,0.01,0.42,17
9/20/2022,6,0.07,0.01,0.59,11
9/20/2022,8,0.47,0.01,0.76,91
9/20/2022,9,6.55,0.01,3.89,139
10/13/2022,0,,0.01,0.21,13
10/13/2022,2,,0.01,0.2,15
10/13/2022,4,,0.01,0.21,15
10/13/2022,6,,0.01,0.27,16
10/13/2022,8,,0.01,0.23,13
3/25/2023,0,,0.85,1.34,15700
3/25/2023,2,,0.84,3.73,67
3/25/2023,4,,0.85,1.45,87
3/25/2023,6,,0.08,0.69,105
3/25/2023,8,,0.86,1.32,66
3/25/2023,9,,0.86,1.38,50
4/10/2023,0,,0.94,1.34,21
4/10/2023,2,,0.92,1.41,27
4/10/2023,4,,0.93,1.37,34
4/10/2023,6,,0.96,1.38,28
4/10/2023,8,,0.84,1.43,38
4/10/2023,9,,0.72,1.23,52
4/30/2023,0,,0.82,0.95,10
4/30/2023,2,,0.85,0.95,16
4/30/2023,4,,0.86,0.93,16
4/30/2023,6,,0.84,2.4,19
4/30/2023,8,,0.42,0.95,75
4/30/2023,9,,0.25,2.83,52
5/16/2023,0,,0.73,0.82,11
5/16/2023,2,,0.72,0.9,63
5/16/2023,4,,0.74,0.91,99
5/16/2023,6,,0.68,0.85,19
5/16/2023,8,,0.52,1.06,30
5/16/2023,9,,0.25,1.35,113
6/21/2023,0,,0.2,0.4,17
6/21/2023,2,,0.2,0.37,24
6/21/2023,4,,0.34,0.57,13
6/21/2023,6,,0.34,0.58,7
6/21/2023,8,,0.1,0.54,61
6/21/2023,9,,0.22,0.48,15
8/24/2023,0,,0.01,0.44,16
8/24/2023,2,,0.01,0.25,23
8/24/2023,4,,0.01,0.23,11
8/24/2023,6,,0.01,0.45,25
8/24/2023,8,,0.01,4.18,618
8/24/2023,9,,0.01,0.97,467
9/2/2023,0,,0.01,0.3,11
9/2/2023,2,,0.01,0.26,11
9/2/2023,4,,0.01,0.27,31
9/2/2023,6,,0.01,0.82,10
9/2/2023,8,,0.01,1.18,63
9/2/2023,9,,0.01,2.32,77
