date,number,class,length,specific weight,group
9/20/2022,2,2,556,1.007340127,Cladoceran
9/20/2022,8,2,976,4.253791518,Cladoceran
9/20/2022,9,2,875,3.216068449,Cladoceran
9/20/2022,14,2,341,0.288161448,Cladoceran
9/20/2022,15,2,607,1.261094747,Cladoceran
9/20/2022,19,2,691,1.757310358,Cladoceran
9/20/2022,21,2,530,0.891109131,Cladoceran
9/20/2022,23,2,764,2.272498816,Cladoceran
9/20/2022,26,2,584,1.142356235,Cladoceran
9/20/2022,28,2,765,2.280121248,Cladoceran
9/20/2022,29,2,986,4.366259765,Cladoceran
9/20/2022,30,2,602,1.234672245,Cladoceran
9/20/2022,33,2,674,1.648746941,Cladoceran
9/20/2022,34,2,721,1.959291008,Cladoceran
9/20/2022,37,2,1100,5.777632867,Cladoceran
9/20/2022,38,2,1119,6.036562329,Cladoceran
9/20/2022,39,2,707,1.863366859,Cladoceran
9/20/2022,41,2,1133,6.231796126,Cladoceran
9/20/2022,42,2,795,2.516080414,Cladoceran
9/20/2022,43,2,805,2.597898155,Cladoceran
9/20/2022,44,2,816,2.689747262,Cladoceran
9/20/2022,45,2,1207,7.327490754,Cladoceran
9/20/2022,49,2,824,2.757771821,Cladoceran
9/20/2022,54,2,652,1.51446246,Cladoceran
9/20/2022,55,2,1606,15.22275482,Cladoceran
9/20/2022,56,2,793,2.499908005,Cladoceran
9/20/2022,57,2,715,1.917821286,Cladoceran
9/20/2022,59,2,775,2.357203222,Cladoceran
9/20/2022,61,2,777,2.372807333,Cladoceran
9/20/2022,63,2,1149,6.459574941,Cladoceran
9/20/2022,65,2,736,2.065341504,Cladoceran
9/20/2022,80,2,711,1.890474595,Cladoceran
9/20/2022,81,2,713,1.904118024,Cladoceran
9/20/2022,82,2,866,3.132062871,Cladoceran
9/20/2022,84,2,639,1.438357574,Cladoceran
9/20/2022,88,2,927,3.728282283,Cladoceran
9/20/2022,90,2,891,3.368771777,Cladoceran
10/13/2022,3,2,1157,6.575337762,Cladoceran
10/13/2022,6,2,971,4.198226796,Cladoceran
10/13/2022,11,2,1350,9.75975948,Cladoceran
10/13/2022,12,2,1458,11.8851298,Cladoceran
10/13/2022,17,2,998,4.503590075,Cladoceran
10/13/2022,19,2,1188,7.035820575,Cladoceran
10/13/2022,24,2,1652,16.36403417,Cladoceran
10/13/2022,30,2,717,1.931584475,Cladoceran
10/13/2022,31,2,746,2.137942723,Cladoceran
10/13/2022,42,2,979,4.287344273,Cladoceran
10/13/2022,43,2,1645,16.18711222,Cladoceran
10/13/2022,44,2,713,1.904118024,Cladoceran
10/13/2022,45,2,965,4.132135838,Cladoceran
10/13/2022,48,2,968,4.165101434,Cladoceran
10/13/2022,49,2,816,2.689747262,Cladoceran
10/13/2022,50,2,678,1.673912236,Cladoceran
10/13/2022,51,2,1397,10.6533812,Cladoceran
10/13/2022,52,2,1255,8.096784972,Cladoceran
10/13/2022,54,2,1600,15.07758631,Cladoceran
10/13/2022,55,2,1134,6.245886491,Cladoceran
10/13/2022,58,2,1324,9.285769725,Cladoceran
10/13/2022,59,2,1462,11.96878158,Cladoceran
10/13/2022,60,2,612,1.287858973,Cladoceran
10/13/2022,61,2,821,2.73214126,Cladoceran
10/13/2022,66,2,939,3.853084948,Cladoceran
10/13/2022,67,2,1270,8.346842012,Cladoceran
10/13/2022,68,2,939,3.853084948,Cladoceran
10/13/2022,69,2,1442,11.55408968,Cladoceran
10/13/2022,70,2,691,1.757310358,Cladoceran
10/13/2022,73,2,745,2.130613752,Cladoceran
10/13/2022,74,2,1617,15.49110218,Cladoceran
10/13/2022,76,2,1246,7.948969965,Cladoceran
10/13/2022,78,2,833,2.835540608,Cladoceran
10/13/2022,79,2,1128,6.161634923,Cladoceran
10/13/2022,82,2,1609,15.29565716,Cladoceran
10/13/2022,83,2,865,3.122812455,Cladoceran
10/13/2022,84,2,1168,6.736562528,Cladoceran
10/13/2022,87,2,842,2.914631283,Cladoceran
10/13/2022,88,2,880,3.263324852,Cladoceran
10/13/2022,92,2,817,2.698193753,Cladoceran
10/13/2022,94,2,1394,10.59491236,Cladoceran
10/13/2022,95,2,1465,12.03175519,Cladoceran
10/13/2022,96,2,1542,13.7176799,Cladoceran
10/13/2022,99,2,1162,6.648326744,Cladoceran
3/25/2023,5,2,1439,11.49265316,Cladoceran
3/25/2023,7,2,1000,4.526730794,Cladoceran
3/25/2023,8,2,1192,7.096625403,Cladoceran
3/25/2023,9,2,1482,12.39241843,Cladoceran
3/25/2023,10,2,1079,5.499453903,Cladoceran
3/25/2023,11,2,1727,18.33382374,Cladoceran
3/25/2023,12,2,1193,7.111876453,Cladoceran
3/25/2023,13,2,1587,14.76595703,Cladoceran
3/25/2023,15,2,1431,11.32979704,Cladoceran
3/25/2023,21,2,1272,8.380533619,Cladoceran
3/25/2023,25,2,1437,11.45180631,Cladoceran
3/25/2023,28,2,1126,6.133705884,Cladoceran
3/25/2023,29,2,1265,8.262974509,Cladoceran
3/25/2023,30,2,1541,13.69491758,Cladoceran
3/25/2023,31,2,1301,8.878396717,Cladoceran
3/25/2023,34,2,1616,15.46658883,Cladoceran
3/25/2023,36,2,388,0.401045719,Cladoceran
3/25/2023,41,2,1296,8.791307513,Cladoceran
3/25/2023,43,2,1459,11.90600923,Cladoceran
3/25/2023,44,2,1201,7.234604041,Cladoceran
3/25/2023,50,2,1013,4.678911684,Cladoceran
3/25/2023,54,2,1374,10.21011664,Cladoceran
3/25/2023,55,2,1315,9.125036177,Cladoceran
3/25/2023,56,2,1567,14.29424754,Cladoceran
3/25/2023,57,2,1787,20.00891421,Cladoceran
3/25/2023,64,2,1200,7.219193084,Cladoceran
3/25/2023,65,2,1100,5.777632867,Cladoceran
3/25/2023,69,2,1156,6.560798853,Cladoceran
3/25/2023,71,2,1082,5.538682308,Cladoceran
3/25/2023,77,2,1217,7.483909859,Cladoceran
3/25/2023,85,2,584,1.142356235,Cladoceran
3/25/2023,88,2,1676,16.97954875,Cladoceran
